name,category,sku,stock,price,cost,supplier
Laptop Pro X1,Electronics,LP-X1-001,45,1299.99,850.00,TechCorp Inc.
Smartphone Galaxy S24,Electronics,SG-S24-002,8,899.99,600.00,MobileTech Ltd.
Wireless Headphones,Audio,WH-BT-003,0,199.99,120.00,AudioPro Co.
Office Chair Ergonomic,Furniture,OC-ERG-004,23,299.99,180.00,FurnitureMax
Coffee Maker Premium,Appliances,CM-PREM-005,5,149.99,90.00,KitchenPro
Gaming Mouse,Electronics,GM-OPT-006,15,79.99,45.00,GamingGear
Bluetooth Speaker,Audio,BS-BT-007,12,89.99,55.00,AudioPro Co.
Desk Lamp LED,Furniture,DL-LED-008,30,49.99,25.00,LightingCo
Microwave Oven,Appliances,MO-1000W-009,7,199.99,120.00,KitchenPro
USB-C Cable,Electronics,UC-C-010,100,19.99,8.00,CableCorp 
